carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Limousine,Black,Used,null,RHD,6761 Zuzwil,CH,Bentley,1995,124900,kilometer,BROOKLANDS,,null,null,6761,12,
Other,White,Used,null,RHD,5984 Zuzwil,CH,Mercedes-Benz,1993,26800,kilometer,S 600,S 600,null,null,5984,8,
Limousine,Black,Used,null,RHD,1995 Zuzwil,CH,Fiat,1980,80000,kilometer,131,Racing / Sport,null,null,1995,5,
Limousine,Grey,Used,null,RHD,2792 Zuzwil,CH,Vw,2000,1,kilometer,BEETLE,New  Cup,null,null,2792,9,
Convertible / Roadster,Grey,Used,null,RHD,3246 Zuzwil,CH,Bmw,2002,1600,kilometer,M3,M3,null,null,3246,6,l/100km
Other,Blue,Used,null,RHD,5748 Zuzwil,CH,Ferrari,2002,51200,kilometer,575M,575M,null,null,5748,7,l/100km
Station Wagon,Black,Used,null,RHD,2793 Zuzwil,CH,Bmw,1997,38000,kilometer,528,i Touring,null,null,2793,4,l/100km
Limousine,Silver,Used,null,RHD,4172 Zuzwil,CH,Audi,1998,57000,kilometer,S8, 4.2 quattro,null,null,4172,1,l/100km
Station Wagon,Black,Used,null,RHD,4172 Zuzwil,CH,Audi,2003,59000,kilometer,RS6, Avant quattro,null,null,4172,1,l/100km
Limousine,White,Used,null,RHD,5998 Zuzwil,CH,Bentley,2006,43000,kilometer,CONTINENTAL, FlyingSpur6.0,null,null,5998,1,l/100km
SUV,Grey,Used,null,RHD,4511 Zuzwil,CH,Porsche,2003,68700,kilometer,CAYENNE, Turbo,null,null,4511,6,l/100km
Convertible / Roadster,Silver,Used,null,RHD,6498 Sursee,CH,Lamborghini,2014,150,kilometer,AVENTADOR, LP700-4 Rds,null,null,6498,1,l/100km
Other,Black,Used,null,RHD,6209 Zuzwil,CH,Mercedes-Benz,2008,45000,kilometer,CLK 63 AMG, Black Series,null,null,6209,6,l/100km
Convertible / Roadster,Black,Used,null,RHD,4999 Zuzwil,CH,Bmw,2007,48000,kilometer,M6,M6,null,null,4999,4,l/100km
Limousine,Blue,Used,null,RHD,6749 Zuzwil,CH,Bentley,1995,39100,kilometer,BROOKLANDS,,null,null,6749,3,
Limousine,Grey,Used,null,RHD,5439 Zuzwil,CH,Mercedes-Benz,2001,205500,kilometer,S 55 AMG,S 55 AMG,null,null,5439,7,l/100km
Convertible / Roadster,Black,Used,null,RHD,2979 Zuzwil,CH,Bmw,2008,25700,kilometer,135,i,null,null,2979,10,l/100km
Limousine,Blue,Used,null,RHD,2295 Zuzwil,CH,Mercedes-Benz,1997,123400,kilometer,C 230, Elégance,null,null,2295,2,l/100km
Limousine,Grey,Used,null,RHD,3199 Zuzwil,CH,Mercedes-Benz,2000,83900,kilometer,E 320, Elégance 4-Matic,null,null,3199,3,l/100km
Limousine,Anthracite,Used,null,RHD,4966 Zuzwil,CH,Mercedes-Benz,2005,95400,kilometer,CLS 500,CLS 500,null,null,4966,1,l/100km
Station Wagon,Silver,Used,null,RHD,4172 Zuzwil,CH,Audi,2003,34000,kilometer,RS6, Avant quattro,null,null,4172,3,l/100km
Limousine,Red,Used,null,RHD,4941 Zuzwil,CH,Bmw,1999,29800,kilometer,M5,M5,null,null,4941,4,l/100km
Limousine,Red,Used,null,RHD,3498 Zuzwil,CH,Mercedes-Benz,2006,43700,kilometer,C 350, Elégance 4Matic,null,null,3498,11,l/100km
Station Wagon,Silver,Used,null,RHD,4991 Zuzwil,CH,Audi,2010,26300,kilometer,RS6, Avant 5.0 V10 quattro,null,null,4991,3,l/100km
Other,Green,Used,null,RHD,5984 Zuzwil,CH,Mercedes-Benz,1993,99500,kilometer,S 600,S 600,null,null,5984,4,
Limousine,Black,Used,null,RHD,5987 Zuzwil,CH,Mercedes-Benz,1996,125000,kilometer,S 600, L,null,null,5987,1,l/100km
Convertible / Roadster,Grey,Used,null,RHD,3498 Zuzwil,CH,Mercedes-Benz,2008,70400,kilometer,SLK 350,SLK 350,null,null,3498,3,l/100km
SUV,Black,Used,null,RHD,4806 Zuzwil,CH,Porsche,2008,16500,kilometer,CAYENNE, Turbo,null,null,4806,5,l/100km
Other,Silver,Used,null,RHD,3598 Zuzwil,CH,Porsche,1992,123000,kilometer,911, Carrera 2 RS,null,null,3598,1,
Limousine,Black,Used,null,RHD,5998 Zuzwil,CH,Vw,2002,50400,kilometer,PHAETON, 6.0 W12 4Motion,null,null,5998,10,l/100km
SUV,Black,Used,null,RHD,4999 Zuzwil,CH,Land Rover,2010,15000,kilometer,RANGE ROVER SPORT, 5.0 V8 SC,null,null,4999,9,l/100km
Other,Black,Used,null,RHD,6749 Zuzwil,CH,Bentley,1994,60000,kilometer,CONTINENTAL, R Coupé,null,null,6749,1,
Limousine,Grey,Used,null,RHD,4971 Zuzwil,CH,Mercedes-Benz,1994,206000,kilometer,E 500, Limited,null,null,4971,6,
SUV,Blue,Used,null,RHD,2979 Zuzwil,CH,Bmw,2004,86200,kilometer,X3, 3.0i,null,null,2979,10,l/100km
Limousine,Silver,Used,null,RHD,5461 Zuzwil,CH,Mercedes-Benz,2009,52000,kilometer,S 500,S 500,null,null,5461,2,l/100km
Station Wagon,Black,Used,null,RHD,4172 Zuzwil,CH,Audi,2003,41100,kilometer,RS6, Avant quattro,null,null,4172,6,l/100km
Other,Black,Used,null,RHD,3387 Zuzwil,CH,Porsche,2000,77600,kilometer,911, Carrera,null,null,3387,9,l/100km
Convertible / Roadster,Black,Used,null,RHD,5513 Zuzwil,CH,Mercedes-Benz,2003,45300,kilometer,SL 600,SL 600,null,null,5513,6,l/100km
Limousine,Black,Used,null,RHD,6761 Zuzwil,CH,Bentley,1995,124900,kilometer,BROOKLANDS,,null,null,6761,12,
Limousine,Black,Used,null,RHD,5998 Zuzwil,CH,Bentley,2007,28000,kilometer,CONTINENTAL, FlyingSpur6.0,null,null,5998,2,l/100km
Other,Grey,Used,null,RHD,3600 Zuzwil,CH,Porsche,2001,25900,kilometer,911, Turbo,null,null,3600,10,l/100km
Limousine,Silver,Used,null,RHD,5981 Zuzwil,CH,Mercedes-Benz,2007,40300,kilometer,S 65 AMG, L,null,null,5981,1,l/100km
Limousine,Blue,Used,null,RHD,4172 Zuzwil,CH,Audi,2003,26300,kilometer,A8, 4.2 quattro,null,null,4172,11,l/100km
Limousine,Red,Used,null,RHD,3996 Zuzwil,CH,Jaguar,2000,44200,kilometer,S-TYPE, 4.0 V8,null,null,3996,1,l/100km
Limousine,Anthracite,Used,null,RHD,3199 Zuzwil,CH,Mercedes-Benz,1999,31900,kilometer,E 320, Elégance 4-Matic,null,null,3199,1,l/100km
SUV,Blue,Used,null,RHD,4197 Zuzwil,CH,Land Rover,2006,49900,kilometer,RANGE ROVER SPORT, 4.2 V8 SC,null,null,4197,6,l/100km
SUV,Grey,Used,null,RHD,6209 Zuzwil,CH,Mercedes-Benz,2009,88500,kilometer,ML 63 AMG, 4Matic,null,null,6209,3,l/100km
Limousine,Grey,Used,null,RHD,4196 Zuzwil,CH,Jaguar,2002,32900,kilometer,S-TYPE, 4.2 V8 S/C R,null,null,4196,7,l/100km
Subcompact,Grey,Antique Car / Restored,null,RHD,0 Zuzwil,CH,Renault,1969,45000,kilometer,,R8 Gordini,null,null,0,4,
Limousine,Silver,Used,null,RHD,2597 Zuzwil,CH,Mercedes-Benz,2000,162900,kilometer,C 240, Elégance,null,null,2597,7,l/100km
Limousine,Silver,Used,null,RHD,5379 Zuzwil,CH,Bmw,1997,42000,kilometer,750,iL,null,null,5379,6,l/100km
Limousine,Grey,Used,null,RHD,3222 Zuzwil,CH,Mercedes-Benz,2004,9900,kilometer,S 320, CDI,null,null,3222,2,l/100km
Convertible / Roadster,Silver,Used,null,RHD,5439 Zuzwil,CH,Mercedes-Benz,2007,29800,kilometer,SLR,McLaren,null,null,5439,10,
Other,Black,Used,null,RHD,4497 Zuzwil,CH,Ferrari,2010,680,kilometer,458, Italia 4.5 V8,null,null,4497,10,l/100km
Convertible / Roadster,Blue,Used,null,RHD,1984 Zuzwil,CH,Vw,2007,27000,kilometer,EOS, 2.0 FSI T,null,null,1984,9,l/100km
SUV,Silver,Used,null,RHD,4398 Zuzwil,CH,Bmw,2002,60100,kilometer,X5, 4.4i,null,null,4398,3,l/100km
Limousine,Black,Used,null,RHD,4172 Zuzwil,CH,Audi,2002,44000,kilometer,A8, 4.2 quattro,null,null,4172,12,l/100km
Convertible / Roadster,Blue,Used,null,RHD,2494 Zuzwil,CH,Bmw,1990,27700,kilometer,Z1,null,null,null,2494,2,
Limousine,Silver,Used,null,RHD,4806 Zuzwil,CH,Porsche,2010,57600,kilometer,PANAMERA, 4S 4.8,null,null,4806,11,l/100km
Station Wagon,Blue,Used,null,RHD,4172 Zuzwil,CH,Audi,2002,47600,kilometer,RS6, Avant quattro,null,null,4172,7,l/100km
Limousine,Black,Used,null,RHD,845 Zuzwil,CH,Renault,1960,177000,kilometer,,DAUPHINE GORDINI,null,null,845,7,
Limousine,Grey,Used,null,RHD,3980 Zuzwil,CH,Bmw,1995,89200,kilometer,740,i,null,null,3980,11,
Station Wagon,Grey,Used,null,RHD,4172 Zuzwil,CH,Audi,2002,100200,kilometer,RS6, Avant quattro,null,null,4172,8,l/100km
Limousine,Black,Used,null,RHD,2597 Zuzwil,CH,Mercedes-Benz,2003,89200,kilometer,E 240, Elégance,null,null,2597,4,l/100km
Station Wagon,Grey,Used,null,RHD,2979 Zuzwil,CH,Bmw,2011,76500,kilometer,535,i Touring,null,null,2979,7,l/100km
Convertible / Roadster,Black,Used,null,RHD,5998 Zuzwil,CH,Bentley,2011,20000,kilometer,CONTINENTAL, Supersports Conv.,null,null,5998,1,l/100km
SUV,Grey,Used,null,RHD,4398 Zuzwil,CH,Bmw,2001,113000,kilometer,X5, 4.4i,null,null,4398,1,l/100km
Other,Silver,Used,null,RHD,4244 Zuzwil,CH,Maserati,2005,38400,kilometer,GRANSPORT,Coupé GranSport,null,null,4244,1,l/100km
Limousine,Silver,Used,null,RHD,4999 Zuzwil,CH,Bmw,2005,27800,kilometer,M5,M5,null,null,4999,4,l/100km
SUV,Black,Used,null,RHD,4999 Zuzwil,CH,Land Rover,2010,15000,kilometer,RANGE ROVER SPORT, 5.0 V8 SC,null,null,4999,9,l/100km
Limousine,Silver,Used,null,RHD,4172 Zuzwil,CH,Audi,1998,57000,kilometer,S8, 4.2 quattro,null,null,4172,1,l/100km
Limousine,Blue,Used,null,RHD,6761 Zuzwil,CH,Bentley,2000,19300,kilometer,ARNAGE, Red Label,null,null,6761,5,l/100km
Convertible / Roadster,Silver,Used,null,RHD,4966 Zuzwil,CH,Mercedes-Benz,2002,33000,kilometer,SL 500,SL 500,null,null,4966,4,l/100km
Other,Silver,Used,null,RHD,6162 Zuzwil,CH,Chevrolet,2008,33000,kilometer,CORVETTE, 6.2,null,null,6162,3,l/100km
Convertible / Roadster,Blue,Used,null,RHD,2295 Zuzwil,CH,Mercedes-Benz,1998,166550,kilometer,SLK 230, Kompressor,null,null,2295,7,l/100km
Other,Grey,Antique Car / Restored,null,RHD,1605 Zuzwil,CH,Renault,1972,34900,kilometer,Alpine A110,1600S VC,null,null,1605,7,
Convertible / Roadster,Green,Used,null,RHD,5935 Zuzwil,CH,Aston Martin,2010,71300,kilometer,DBS, Volante,null,null,5935,4,l/100km
Other,Black,Used,null,RHD,4395 Zuzwil,CH,Bmw,2012,29600,kilometer,M6,M6,null,null,4395,10,
Limousine,Blue,Used,null,RHD,3980 Zuzwil,CH,Jaguar,1997,161400,kilometer,XJ, 4.0 Sovereign,null,null,3980,3,l/100km
Convertible / Roadster,Black,New,null,RHD,6498 Zuzwil,CH,Lamborghini,2015,90,kilometer,AVENTADOR, LP700-4 Rds,null,null,6498,3,l/100km
Limousine,Silver,Used,null,RHD,4398 Zuzwil,CH,Bmw,2004,27600,kilometer,745,i,null,null,4398,12,l/100km
Limousine,Anthracite,Used,null,RHD,4617 Zuzwil,CH,Bmw-Alpina,1999,146500,kilometer,3 SERIES,B8,null,null,4617,1,
Station Wagon,Anthracite,Used,null,RHD,4172 Zuzwil,CH,Audi,2003,27900,kilometer,RS6, Avant quattro,null,null,4172,7,l/100km
Station Wagon,Blue,Used,null,RHD,2993 Zuzwil,CH,Bmw,2004,108500,kilometer,530,d Touring,null,null,2993,11,l/100km
SUV,Blue,Used,null,RHD,2979 Zuzwil,CH,Bmw,2004,86200,kilometer,X3, 3.0i,null,null,2979,10,l/100km
Other,Silver,Used,null,RHD,4961 Zuzwil,CH,Lamborghini,2006,20000,kilometer,GALLARDO, 5.0 V10 Coupé SE,null,null,4961,1,l/100km
Other,Red,Used,null,RHD,3600 Zuzwil,CH,Porsche,2002,29000,kilometer,911, Turbo,null,null,3600,1,l/100km
Other,Anthracite,Used,null,RHD,3600 Zuzwil,CH,Porsche,2001,47600,kilometer,911, Turbo,null,null,3600,11,l/100km
Limousine,Other,Used,null,RHD,4172 Zuzwil,CH,Audi,2004,60000,kilometer,A8, 4.2 quattro,null,null,4172,4,l/100km
Limousine,Anthracite,Used,null,RHD,4617 Zuzwil,CH,Bmw-Alpina,1999,146500,kilometer,3 SERIES,B8,null,null,4617,1,
Other,Black,Used,null,RHD,5707 Zuzwil,CH,Lamborghini,2000,20600,kilometer,DIABLO, 5.7,null,null,5707,12,
Limousine,Black,Used,null,RHD,2597 Zuzwil,CH,Mercedes-Benz,2003,89200,kilometer,E 240, Elégance,null,null,2597,4,l/100km
Limousine,Green,Used,null,RHD,4663 Porrentruy,CH,Mercedes-Benz,2011,19900,kilometer,S 500, L,null,null,4663,9,l/100km
Limousine,Other,Used,null,RHD,5461 Zuzwil,CH,Mercedes-Benz,2005,128000,kilometer,S 500,S 500,null,null,5461,11,l/100km
Limousine,Blue,Used,null,RHD,3428 Zuzwil,CH,Bmw-Alpina,1986,199300,kilometer,5 SERIES,B7 TURBO,null,null,3428,5,
Limousine,Silver,Used,null,RHD,4806 Zuzwil,CH,Porsche,2010,35500,kilometer,PANAMERA, 4S 4.8,null,null,4806,5,l/100km
Other,Other,New,null,RHD,3800 Zuzwil,CH,Porsche,2015,100,kilometer,911, Turbo S,null,null,3800,1,l/100km
Other,Red,Used,null,RHD,4308 Zuzwil,CH,Ferrari,2007,45000,kilometer,F430,F430,null,null,4308,3,l/100km
Limousine,Black,Used,null,RHD,4973 Zuzwil,CH,Mercedes-Benz,1997,70700,kilometer,E 50 AMG, Avantgarde,null,null,4973,3,l/100km
Convertible / Roadster,Silver,Used,null,RHD,5935 Zuzwil,CH,Aston Martin,2004,29000,kilometer,DB7, Vantage Volante,null,null,5935,4,l/100km
Convertible / Roadster,Silver,Used,null,RHD,3199 Zuzwil,CH,Mercedes-Benz,1999,83600,kilometer,SL 320,SL 320,null,null,3199,8,l/100km
Other,White,Used,null,RHD,3497 Zuzwil,CH,Jaguar,1996,25000,kilometer,XJ 220,null,null,null,3497,5,
Convertible / Roadster,Black,Used,null,RHD,4971 Zuzwil,CH,Mercedes-Benz,1992,129700,kilometer,SL 500,SL 500,null,null,4971,2,
Limousine,Grey,Used,null,RHD,4172 Zuzwil,CH,Audi,1997,66300,kilometer,A8, 4.2 quattro,null,null,4172,1,l/100km
Other,Silver,Used,null,RHD,1808 Zuzwil,CH,Nissan,1990,162900,kilometer,200 SX, 1.8 16V Turbo,null,null,1808,6,
Limousine,Black,Used,null,RHD,1984 Zuzwil,CH,Seat,2009,53300,kilometer,LEON, 2.0 TSI FR,null,null,1984,1,l/100km
Limousine,White,Antique Car / Restored,null,RHD,998 Safenwil,CH,Mini,1976,44300,kilometer,MINI,1000,null,null,998,7,
Convertible / Roadster,White,Used,null,RHD,3798 Zuzwil,CH,Mclaren,2013,12000,kilometer,12C,MP4- Cabriolet 3.8 V8,null,null,3798,3,l/100km
Station Wagon,Grey,Used,null,RHD,4172 Zuzwil,CH,Audi,2002,38500,kilometer,RS6, Avant quattro,null,null,4172,11,l/100km
Other,Grey,Used,null,RHD,5748 Zuzwil,CH,Ferrari,2008,37000,kilometer,612,612,null,null,5748,2,l/100km
Limousine,Black,Used,null,RHD,2993 Zuzwil,CH,Bmw,2012,82000,kilometer,535,d xDrive,null,null,2993,4,l/100km
Limousine,Silver,Used,null,RHD,1984 Zuzwil,CH,Vw,2007,87000,kilometer,GOLF, 2.0 TFSI GTI,null,null,1984,2,l/100km
SUV,Blue,Used,null,RHD,5461 Zuzwil,CH,Mercedes-Benz,2013,25100,kilometer,ML 63 AMG, 4Matic,null,null,5461,1,l/100km
Convertible / Roadster,White,Used,null,RHD,5439 Zuzwil,CH,Mercedes-Benz,2003,81000,kilometer,SL 55 AMG,SL 55 AMG,null,null,5439,1,l/100km
Station Wagon,Grey,Used,null,RHD,4991 Zuzwil,CH,Audi,2008,41900,kilometer,RS6, Avant 5.0 V10 quattro,null,null,4991,10,l/100km
Other,Black,Used,null,RHD,6208 Zuzwil,CH,Mercedes-Benz,2012,500,kilometer,C 63 AMG,BLACK SERIES,null,null,6208,3,
Convertible / Roadster,Black,Antique Car / Restored,null,RHD,0 Basel,CH,Rolls-Royce,1982,70000,kilometer,CORNICHE,Convertible,null,null,0,1,
SUV,Black,Used,null,RHD,5461 Zuzwil,CH,Mercedes-Benz,2013,28100,kilometer,G 63 AMG,G 63 AMG,null,null,5461,4,l/100km
Convertible / Roadster,Grey,Used,null,RHD,4244 Zuzwil,CH,Maserati,2003,50300,kilometer,SPYDER GT,Spyder GT,null,null,4244,6,l/100km
Station Wagon,Black,Used,null,RHD,4991 Zuzwil,CH,Audi,2009,29500,kilometer,RS6, Avant 5.0 V10 quattro,null,null,4991,3,l/100km
Convertible / Roadster,Blue,Used,null,RHD,3498 Zuzwil,CH,Mercedes-Benz,2008,3200,kilometer,SLK 350,SLK 350,null,null,3498,5,l/100km
Convertible / Roadster,Black,Used,null,RHD,2494 Zuzwil,CH,Bmw,2000,228000,kilometer,323,Ci,null,null,2494,6,l/100km
SUV,Silver,Used,null,RHD,4921 Zuzwil,CH,Vw,2003,117800,kilometer,TOUAREG, 5.0 TDI V10,null,null,4921,11,l/100km
Limousine,Blue,Used,null,RHD,4806 Zuzwil,CH,Porsche,2010,26800,kilometer,PANAMERA, Turbo 4.8,null,null,4806,1,l/100km
Station Wagon,Grey,Used,null,RHD,4991 Zuzwil,CH,Audi,2008,14000,kilometer,RS6, Avant 5.0 V10 quattro,null,null,4991,6,l/100km
Station Wagon,Grey,Used,null,RHD,4172 Zuzwil,CH,Audi,2003,32900,kilometer,RS6, Avant quattro,null,null,4172,4,l/100km
Limousine,Grey,Used,null,RHD,4172 Zuzwil,CH,Audi,1997,66300,kilometer,A8, 4.2 quattro,null,null,4172,1,l/100km
Other,Black,Used,null,RHD,3600 Zuzwil,CH,Porsche,2000,7000,kilometer,911,GT3 CUP,null,null,3600,5,
Other,Black,Used,null,RHD,5748 Zuzwil,CH,Ferrari,2003,23100,kilometer,575M,575M,null,null,5748,1,l/100km
Limousine,Silver,Used,null,RHD,4999 Zuzwil,CH,Bmw,2005,33600,kilometer,M5,M5,null,null,4999,4,l/100km
Limousine,White,Used,null,RHD,6209 Zuzwil,CH,Mercedes-Benz,2010,37500,kilometer,CLS 63 AMG,CLS 63 AMG,null,null,6209,8,l/100km
Convertible / Roadster,Blue,Used,null,RHD,3498 Zuzwil,CH,Mercedes-Benz,2008,3200,kilometer,SLK 350,SLK 350,null,null,3498,5,l/100km
Convertible / Roadster,Blue,Used,null,RHD,3600 Zuzwil,CH,Porsche,1996,78000,kilometer,911, Carrera Cabrio,null,null,3600,1,l/100km
Convertible / Roadster,Grey,Used,null,RHD,3179 Zuzwil,CH,Porsche,2000,51000,kilometer,BOXSTER, S 3.2,null,null,3179,7,l/100km
Other,Black,Used,null,RHD,4244 Zuzwil,CH,Maserati,2002,23200,kilometer,COUPÉ GT,Coupé GT,null,null,4244,10,l/100km
Limousine,Silver,Used,null,RHD,5981 Zuzwil,CH,Mercedes-Benz,2004,61000,kilometer,S 65 AMG,S 65 L AMG 650PS,null,null,5981,8,l/100km
Other,Green,Used,null,RHD,5439 Zuzwil,CH,Mercedes-Benz,2001,50200,kilometer,CL 55 AMG,CL 55 AMG,null,null,5439,3,l/100km
Station Wagon,Black,Used,null,RHD,4991 Zuzwil,CH,Audi,2008,38500,kilometer,RS6, Avant 5.0 V10 quattro,null,null,4991,5,l/100km
Limousine,Silver,Used,null,RHD,1997 Zuzwil,CH,Mitsubishi,1999,120800,kilometer,LANCER,EVO V,null,null,1997,1,
Limousine,Silver,Used,null,RHD,1997 Zuzwil,CH,Triumph,1977,12800,kilometer,Dolomite,Sprint,null,null,1997,7,
Other,Black,Used,null,RHD,2315 Zuzwil,CH,Bmw,1982,64700,kilometer,323,E21,null,null,2315,9,l/100km
Limousine,Black,Used,null,RHD,5377 Zuzwil,CH,Bmw,1995,111900,kilometer,750,iL,null,null,5377,1,l/100km
Convertible / Roadster,White,Used,null,RHD,3824 Zuzwil,CH,Porsche,2006,29800,kilometer,911, Carrera S Cabrio,null,null,3824,8,l/100km
Limousine,Grey,Used,null,RHD,3980 Zuzwil,CH,Bmw,1995,65400,kilometer,740,i,null,null,3980,7,
Compact Van,Black,Used,null,RHD,2035 Zuzwil,CH,Mercedes-Benz,2006,60500,kilometer,B 200, T Sailing Edition,null,null,2035,8,l/100km
Limousine,Blue,Used,null,RHD,3199 Zuzwil,CH,Mercedes-Benz,2002,145100,kilometer,C 320, Elégance,null,null,3199,5,l/100km
Other,Green,Used,null,RHD,2418 Zuzwil,CH,Fiat,1972,131000,kilometer,Dino,2400 Coupé,null,null,2418,10,
Limousine,Black,Used,null,RHD,4244 Zuzwil,CH,Maserati,2006,9800,kilometer,QUATTROPORTE, 4.2,null,null,4244,12,l/100km
Station Wagon,Grey,Used,null,RHD,4172 Zuzwil,CH,Audi,2003,39000,kilometer,RS6, Avant quattro,null,null,4172,1,l/100km
Other,Black,Used,null,RHD,5998 Zuzwil,CH,Bentley,2005,142000,kilometer,CONTINENTAL, GT 6.0,null,null,5998,5,l/100km
Limousine,Yellow,Used,null,RHD,4172 Zuzwil,CH,Audi,2001,103100,kilometer,S6, quattro,null,null,4172,8,l/100km
Other,Silver,Used,null,RHD,5439 Zuzwil,CH,Mercedes-Benz,2000,79500,kilometer,CLK 55 AMG, Avantgarde,null,null,5439,6,l/100km
Station Wagon,Green,Used,null,RHD,4196 Zuzwil,CH,Mercedes-Benz,1997,44000,kilometer,E 420, Elégance,null,null,4196,10,l/100km
Limousine,Silver,Used,null,RHD,3430 Zuzwil,CH,Bmw-Alpina,1985,157000,kilometer,5 SERIES,B7 (E28),null,null,3430,7,
Limousine,Blue,Used,null,RHD,2597 Zuzwil,CH,Mercedes-Benz,2003,106000,kilometer,E 240, Avantgarde,null,null,2597,3,l/100km
Convertible / Roadster,Black,Used,null,RHD,3199 Zuzwil,CH,Mercedes-Benz,1999,70900,kilometer,SL 320,SL 320,null,null,3199,1,l/100km
Limousine,Black,Used,null,RHD,4999 Zuzwil,CH,Bmw,2005,21700,kilometer,M5,M5,null,null,4999,5,l/100km
Convertible / Roadster,Black,Used,null,RHD,5707 Porrentruy,CH,Lamborghini,1998,13960,kilometer,DIABLO, 5.7 VT Roadster,null,null,5707,5,l/100km
Convertible / Roadster,Black,Used,null,RHD,5998 Zuzwil,CH,Bentley,2009,76200,kilometer,CONTINENTAL, GTC 6.0,null,null,5998,6,l/100km
Limousine,Blue,Used,null,RHD,5998 Zuzwil,CH,Bentley,2012,29000,kilometer,CONTINENTAL, FlyingSpur6.0,null,null,5998,5,l/100km
Other,Blue,Used,null,RHD,2319 Zuzwil,CH,Volvo,2001,27900,kilometer,C70, T5,null,null,2319,2,l/100km
Limousine,Grey,Used,null,RHD,2315 Zuzwil,CH,Bmw,1982,238500,kilometer,323,i,null,null,2315,4,
Other,Yellow,Used,null,RHD,4941 Zuzwil,CH,Ferrari,1989,31700,kilometer,TESTAR./512,Testarossa,null,null,4941,1,
Other,Silver,Used,null,RHD,5513 Zuzwil,CH,Mercedes-Benz,2003,22400,kilometer,CL 600,CL 600,null,null,5513,7,l/100km
Limousine,Black,Used,null,RHD,4395 Zuzwil,CH,Bmw-Alpina,2012,4950,kilometer,5 SERIES,B5 BiTurbo 4.4 V8,null,null,4395,6,l/100km
Convertible / Roadster,Grey,Used,null,RHD,5513 Zuzwil,CH,Mercedes-Benz,2004,20000,kilometer,SL 600,SL 600,null,null,5513,3,l/100km
Convertible / Roadster,Green,Used,null,RHD,3246 Zuzwil,CH,Bmw,2002,52900,kilometer,M3,M3,null,null,3246,12,l/100km
Compact Van,Black,Used,null,RHD,2035 Zuzwil,CH,Mercedes-Benz,2006,60500,kilometer,B 200, T Sailing Edition,null,null,2035,8,l/100km
Other,Black,Used,null,RHD,2759 Zuzwil,CH,Toyota,1983,54100,kilometer,CELICA, 2800 i Supra,null,null,2759,3,
Limousine,Blue,Antique Car / Restored,null,RHD,1647 Zuzwil,CH,Renault,1976,59800,kilometer,ALPINE,A310 1600 VG,null,null,1647,6,
Convertible / Roadster,Black,New,null,RHD,6498 Zuzwil,CH,Lamborghini,2015,90,kilometer,AVENTADOR, LP700-4 Rds,null,null,6498,3,l/100km
Convertible / Roadster,Silver,Used,null,RHD,3199 Zuzwil,CH,Mercedes-Benz,1999,83600,kilometer,SL 320,SL 320,null,null,3199,8,l/100km
Convertible / Roadster,Grey,Used,null,RHD,4244 Zuzwil,CH,Maserati,2002,63000,kilometer,SPYDER GT,Spyder GT,null,null,4244,5,l/100km
Other,Black,Used,null,RHD,3152 Zuzwil,CH,Bmw-Alpina,1997,99400,kilometer,3 SERIES,B3 3.2 Coupé S.Tronic,null,null,3152,2,l/100km
Other,Green,Used,null,RHD,5786 Zuzwil,CH,Mercedes-Benz,2000,29000,kilometer,CL 600,CL 600,null,null,5786,5,l/100km
Limousine,Black,Used,null,RHD,3003 Zuzwil,CH,Bmw,1973,129800,kilometer,3.0,CSL,null,null,3003,1,
Limousine,Blue,Used,null,RHD,5998 Zuzwil,CH,Bentley,2012,29000,kilometer,CONTINENTAL, FlyingSpur6.0,null,null,5998,5,l/100km
Limousine,Blue,Used,null,RHD,5439 Zuzwil,CH,Mercedes-Benz,1998,86900,kilometer,E 55 AMG, Avantgarde,null,null,5439,2,l/100km
Convertible / Roadster,Anthracite,Used,null,RHD,4973 Zuzwil,CH,Mercedes-Benz,1998,48300,kilometer,SL 500,SL 500,null,null,4973,4,l/100km
Station Wagon,Grey,Used,null,RHD,4991 Zuzwil,CH,Audi,2008,14000,kilometer,RS6, Avant 5.0 V10 quattro,null,null,4991,6,l/100km
Station Wagon,Black,Used,null,RHD,4991 Zuzwil,CH,Audi,2009,29500,kilometer,RS6, Avant 5.0 V10 quattro,null,null,4991,3,l/100km
Other,Black,Used,null,RHD,4244 Zuzwil,CH,Maserati,2002,23200,kilometer,COUPÉ GT,Coupé GT,null,null,4244,10,l/100km
Convertible / Roadster,Black,Used,null,RHD,6498 Porrentruy,CH,Lamborghini,2014,1999,kilometer,AVENTADOR, LP700-4 Rds,null,null,6498,3,l/100km
SUV,White,Used,null,RHD,4511 Zuzwil,CH,Porsche,2003,115000,kilometer,CAYENNE, S,null,null,4511,3,l/100km
Other,Blue,Used,null,RHD,1397 Zuzwil,CH,Renault,1977,39267,kilometer,Alpine A110,A5 Motor,null,null,1397,5,
Station Wagon,Green,Used,null,RHD,4991 Zuzwil,CH,Audi,2008,45300,kilometer,RS6, Avant 5.0 V10 quattro,null,null,4991,12,l/100km
Limousine,Black,Used,null,RHD,5972 Zuzwil,CH,Bmw,2003,94500,kilometer,760,i L,null,null,5972,1,l/100km
