carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Convertible / Roadster,Grey,Used,null,RHD,4244 Zuzwil,CH,Maserati,2002,63000,kilometer,SPYDER GT,Spyder GT,null,null,4244,5,l/100km
Limousine,Blue,Used,null,RHD,5439 Zuzwil,CH,Mercedes-Benz,1998,35000,kilometer,E 55 AMG, Avantgarde,null,null,5439,10,l/100km
Station Wagon,Black,Used,null,RHD,4991 Zuzwil,CH,Audi,2008,48200,kilometer,RS6, Avant 5.0 V10 quattro,null,null,4991,11,l/100km
Limousine,Black,Used,null,RHD,5461 Zuzwil,CH,Mercedes-Benz,2005,1500,kilometer,S 500,S 500,null,null,5461,11,l/100km
Other,Blue,Used,null,RHD,2664 Zuzwil,CH,Renault,1981,68900,kilometer,ALPINE, A310 V6,null,null,2664,5,
Limousine,Other,Used,null,RHD,4973 Zuzwil,CH,Mercedes-Benz,1996,33700,kilometer,E 50 AMG, Avantgarde,null,null,4973,11,l/100km
Limousine,Grey,Used,null,RHD,3980 Zuzwil,CH,Bmw,1995,89200,kilometer,740,i,null,null,3980,11,
Other,Silver,Used,null,RHD,6162 Zuzwil,CH,Chevrolet,2009,4000,kilometer,CORVETTE, ZR1,null,null,6162,7,l/100km
Limousine,Black,Used,null,RHD,4172 Zuzwil,CH,Audi,2001,49300,kilometer,S8, 4.2 quattro,null,null,4172,3,l/100km
Convertible / Roadster,Black,Used,null,RHD,2979 Zuzwil,CH,Bmw,2008,25700,kilometer,135,i,null,null,2979,10,l/100km
Limousine,Grey,Used,null,RHD,3980 Zuzwil,CH,Bmw,1995,65400,kilometer,740,i,null,null,3980,7,
Station Wagon,Black,Used,null,RHD,1990 Zuzwil,CH,Bmw,1996,79800,kilometer,320,i Touring,null,null,1990,1,l/100km
Limousine,Silver,Used,null,RHD,4999 Zuzwil,CH,Bmw,2005,27800,kilometer,M5,M5,null,null,4999,4,l/100km
Limousine,Blue,Used,null,RHD,2295 Zuzwil,CH,Mercedes-Benz,1997,123400,kilometer,C 230, Elégance,null,null,2295,2,l/100km
Limousine,Silver,Used,null,RHD,5379 Zuzwil,CH,Bmw,1997,42000,kilometer,750,iL,null,null,5379,6,l/100km
Pick-up,Black,Used,null,RHD,2976 Zuzwil,CH,Toyota,1981,26900,kilometer,DYNA,Bergungsfahrzeug,null,null,2976,1,
Other,Silver,Used,null,RHD,4691 Zuzwil,CH,Alfa Romeo,2008,37000,kilometer,8C,Coupé,null,null,4691,3,
Other,Black,Used,null,RHD,5204 Zuzwil,CH,Lamborghini,2011,19300,kilometer,GALLARDO, LP570-4 Coupé SL,null,null,5204,1,l/100km
Convertible / Roadster,Grey,Used,null,RHD,3586 Zuzwil,CH,Ferrari,2002,16600,kilometer,F360, Spider,null,null,3586,9,l/100km
Other,Black,Used,null,RHD,6192 Zuzwil,CH,Lamborghini,2003,13500,kilometer,MURCIÉLAGO, 6.2 Coupé,null,null,6192,6,l/100km
Limousine,Other,Used,null,RHD,5439 Zuzwil,CH,Mercedes-Benz,1997,67400,kilometer,E 55 AMG, Avantgarde,null,null,5439,10,l/100km
Other,Black,Used,null,RHD,4244 Zuzwil,CH,Maserati,2009,8700,kilometer,GRANTURISMO,GranTurismo,null,null,4244,12,l/100km
Other,Silver,Used,null,RHD,5748 Zuzwil,CH,Ferrari,2005,22500,kilometer,575M,575M,null,null,5748,3,l/100km
Convertible / Roadster,Blue,Used,null,RHD,1295 Zuzwil,CH,Triumph,1974,38000,kilometer,Spitfire,MK IV,null,null,1295,3,
Other,Black,Used,null,RHD,5474 Zuzwil,CH,Ferrari,1999,18200,kilometer,456,M GTA,null,null,5474,12,l/100km
SUV,Black,Used,null,RHD,4511 Zuzwil,CH,Porsche,2004,69500,kilometer,CAYENNE, Turbo,null,null,4511,11,l/100km
Convertible / Roadster,Other,Used,null,RHD,3246 Zuzwil,CH,Bmw,2001,46000,kilometer,M3,M3,null,null,3246,3,l/100km
Limousine,Silver,Used,null,RHD,4395 Zuzwil,CH,Bmw,2012,19000,kilometer,M5,M5,null,null,4395,3,l/100km
Other,Black,Used,null,RHD,4966 Zuzwil,CH,Mercedes-Benz,2001,27800,kilometer,CL 500,CL 500,null,null,4966,1,l/100km
